[2026-07-27 11:22:33,234] 17 root -INFO - Initiate the Data Ingestion
[2026-07-27 11:22:34,655] 65 root -INFO - Performed train test split on the dataframe
[2026-07-27 11:22:34,655] 67 root -INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-27 11:22:34,655] 75 root -INFO - Exporting train and test file path.
[2026-07-27 11:22:34,697] 84 root -INFO - Exported train and test file path.
[2026-07-27 11:22:34,697] 19 root -INFO - Data Iniatiation completed
[2026-07-27 11:22:34,700] 24 root -INFO - Initiate the data validation
[2026-07-27 11:22:34,712] 35 root -INFO - Required number of columns : 2
[2026-07-27 11:22:34,712] 36 root -INFO - Dataframe has columns: 31
[2026-07-27 11:22:34,712] 35 root -INFO - Required number of columns : 2
[2026-07-27 11:22:34,712] 36 root -INFO - Dataframe has columns: 31
[2026-07-27 11:22:34,830] 26 root -INFO - Data Validation Completed
[2026-07-27 11:22:34,831] 31 root -INFO - Initiated Data Transformation
[2026-07-27 11:22:34,831] 65 root -INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-07-27 11:22:34,831] 67 root -INFO - Starting data transfomation
[2026-07-27 11:22:34,843] 49 root -INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-07-27 11:22:34,843] 54 root -INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-27 11:22:34,858] 46 root -INFO - Entered the save objects method of MainUtils class
[2026-07-27 11:22:34,859] 50 root -INFO - Excited the save object method of MainUtils class
[2026-07-27 11:22:34,859] 33 root -INFO - Data Transformation Completed
[2026-07-27 11:22:34,859] 37 root -INFO - Model Training Started
[2026-07-27 11:23:32,642] 46 root -INFO - Entered the save objects method of MainUtils class
[2026-07-27 11:23:32,646] 50 root -INFO - Excited the save object method of MainUtils class
[2026-07-27 11:23:32,646] 124 root -INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_27_2026_11_22_30/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990810865394325, precision_score=0.9871227364185111, recall_score=0.994526657206568), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9745248685806712, precision_score=0.9647718174539631, recall_score=0.9844771241830066))
[2026-07-27 11:23:32,647] 42 root -INFO - Model Training Completed
